timestamp,AX_raw,AY_raw,AZ_raw,GX_raw,GY_raw,GZ_raw,MX_raw,MY_raw,MZ_raw
1770405571.236762,77,68,-3009,0,-2,1,187,-283,189
1770405571.336900,76,67,-3013,1,-2,0,188,-283,188
1770405571.436839,76,67,-3010,-12,2,0,188,-282,188
1770405571.537033,78,67,-3009,-4,0,1,187,-283,190
1770405571.636893,76,66,-3009,-2,-1,0,188,-284,189
1770405571.737108,78,67,-3009,-6,0,0,187,-283,190
1770405571.837165,76,66,-3009,2,-2,1,187,-283,189
1770405571.937252,78,66,-3008,-5,0,1,188,-284,188
1770405572.037106,77,66,-3011,-10,0,0,187,-284,190
1770405572.178431,76,68,-3011,-12,0,0,187,-283,190
1770405572.237514,76,67,-3010,-12,-1,1,188,-283,190
1770405572.337707,76,68,-3010,-6,0,1,187,-282,188
1770405572.437652,76,67,-3011,11,-4,0,187,-283,189
1770405572.537739,76,67,-3011,0,-1,0,188,-283,190
1770405572.637732,78,68,-3011,-20,4,0,188,-283,188
1770405572.737798,76,67,-3008,-10,0,0,187,-283,189
1770405572.837932,76,68,-3012,-4,0,0,187,-282,188
1770405572.937947,76,68,-3010,1,-1,0,188,-283,188
1770405573.037935,76,67,-3010,0,0,0,187,-282,188
1770405573.139076,76,68,-3010,-8,1,0,187,-284,189
1770405573.238087,77,69,-3012,-22,7,0,188,-282,187
1770405573.338298,76,68,-3007,-2,-1,1,187,-283,188
1770405573.438439,77,68,-3014,1,-6,0,187,-283,188
1770405573.538419,78,68,-3007,-14,5,0,188,-283,190
1770405573.638416,78,69,-3009,-4,0,0,188,-284,189
1770405573.738231,77,68,-3007,0,-2,0,188,-283,189
1770405573.838213,96,86,-2975,-85,106,-9,188,-284,190
1770405573.938773,72,61,-3029,39,-76,10,187,-285,191
1770405574.038751,78,69,-3012,1,-7,1,187,-283,190
1770405574.159720,94,84,-2987,-135,166,-4,187,-284,188
1770405574.238994,108,95,-3008,-202,205,-9,184,-287,186
1770405574.339063,117,103,-3012,-103,107,-1,180,-294,189
1770405574.439045,138,112,-3000,-95,219,-12,176,-294,188
1770405574.538860,151,112,-3123,-65,359,-15,170,-298,190
1770405574.639090,432,190,-3053,106,2184,1,152,-307,214
